,state,customer_lifetime_value,education,gender,income,monthly_premium_auto,number_of_open_complaints,policy_type,total_claim_amount,vehicle_class,sales_channel,response
65,oregon,2300.691547,bachelor,male,25905,63,0.0,corporate auto,302.4,four-door car,agent,yes
66,california,4950.250892,high school or below,female,27400,63,1.0,personal auto,302.4,four-door car,agent,no
67,washington,7507.455372,college,male,60920,64,,personal auto,231.201886,two-door car,agent,yes
68,nevada,2224.089639,college,female,0,64,0.0,corporate auto,483.25721,four-door car,branch,no
69,oregon,2867.312197,bachelor,female,23376,78,0.0,personal auto,374.4,four-door car,call center,yes
70,oregon,5427.174517,college,female,27677,72,1.0,personal auto,345.6,four-door car,agent,no
71,arizona,12157.5413,high school or below,male,40432,77,0.0,personal auto,369.6,four-door car,agent,no
72,california,8152.244431,high school or below,male,0,79,0.0,personal auto,568.8,four-door car,agent,no
73,arizona,2191.133237,college,male,0,61,1.0,special auto,439.2,four-door car,agent,no
74,oregon,26346.08582,high school or below,male,48268,223,0.0,personal auto,1605.6,luxury suv,web,no
75,oregon,2364.43161,college,male,46264,62,0.0,corporate auto,199.37361,four-door car,branch,no
76,california,2710.12066,doctor,male,0,71,0.0,personal auto,340.8,four-door car,agent,no
77,washington,74228.51604,high school or below,male,0,242,0.0,personal auto,1742.4,luxury car,branch,no
78,california,14687.07959,bachelor,male,0,85,0.0,personal auto,612.0,four-door car,web,no
79,arizona,9312.585034,high school or below,male,75986,115,0.0,personal auto,89.119797,four-door car,call center,no
80,california,7750.120323,college,female,22668,67,1.0,personal auto,33.718553,four-door car,branch,no
81,washington,2540.689797,master,male,42557,65,0.0,personal auto,57.562324,four-door car,agent,no
82,arizona,2456.816127,high school or below,male,0,73,0.0,personal auto,525.6,four-door car,branch,no
83,oregon,3755.806897,high school or below,female,56178,94,0.0,personal auto,451.2,four-door car,branch,no
84,arizona,5181.054467,college,female,0,70,,personal auto,336.0,four-door car,branch,no
85,oregon,32474.76977,high school or below,male,71449,102,0.0,personal auto,734.4,suv,call center,no
86,california,8349.523082,bachelor,male,45428,109,,corporate auto,487.273964,suv,call center,no
87,oregon,8126.766397,college,female,14616,107,,personal auto,513.6,,agent,no
88,arizona,13466.92071,high school or below,female,11432,119,,corporate auto,571.2,,agent,yes
89,arizona,5210.348372,bachelor,male,89781,66,0.0,special auto,37.960537,,agent,no
90,oregon,6941.872931,college,female,0,111,3.0,personal auto,532.8,suv,agent,no
91,california,7048.384055,college,male,24030,194,0.0,personal auto,970.688934,luxury suv,agent,no
92,arizona,26770.44534,college,female,26335,113,1.0,personal auto,355.818306,suv,call center,no
93,nevada,9549.113813,high school or below,female,55986,119,0.0,personal auto,388.506303,suv,agent,no
94,washington,4331.460674,high school or below,female,82302,106,0.0,personal auto,722.178166,suv,branch,no
95,washington,7294.492993,college,female,0,113,2.0,personal auto,733.737214,sports car,call center,no
96,oregon,3289.120863,college,male,40097,92,4.0,personal auto,227.221652,two-door car,call center,no
97,oregon,2505.42043,master,female,60546,63,0.0,personal auto,46.278027,,branch,no
98,arizona,3417.953745,high school or below,female,72460,85,0.0,personal auto,370.018108,four-door car,call center,no
99,california,16320.76716,high school or below,female,0,247,3.0,personal auto,1778.4,luxury car,branch,no
100,california,2838.067784,bachelor,female,0,80,0.0,personal auto,336.50961,four-door car,web,no
101,california,4700.583771,college,female,76694,117,0.0,personal auto,561.6,suv,agent,no
102,arizona,2471.528431,high school or below,male,95697,61,0.0,personal auto,114.273025,two-door car,agent,yes
103,arizona,10130.93442,doctor,female,59232,85,0.0,corporate auto,408.0,two-door car,branch,no
104,california,3419.108695,high school or below,male,40272,86,0.0,personal auto,23.387192,two-door car,agent,no
105,california,23866.15656,high school or below,female,0,81,1.0,personal auto,388.8,four-door car,branch,no
106,arizona,8324.23271,high school or below,male,0,121,,corporate auto,871.2,sports car,branch,no
107,arizona,3179.474225,bachelor,female,65742,79,0.0,personal auto,277.360797,four-door car,call center,no
108,oregon,6672.127831,college,female,56830,83,,personal auto,319.799712,two-door car,agent,no
109,california,16407.66461,bachelor,male,22103,109,0.0,personal auto,160.338007,four-door car,agent,no
110,arizona,9371.773682,bachelor,female,66325,117,0.0,corporate auto,497.719213,suv,agent,no
111,arizona,4270.034394,college,male,0,122,0.0,personal auto,725.870693,suv,agent,yes
112,california,5799.826802,college,male,60689,74,0.0,corporate auto,5.746657,four-door car,branch,no
113,oregon,5096.673223,master,female,22886,65,0.0,corporate auto,312.0,four-door car,agent,yes
114,nevada,15563.36944,bachelor,female,0,253,5.0,personal auto,1214.4,luxury car,web,no
115,washington,7475.784971,bachelor,female,29633,196,0.0,corporate auto,534.653787,luxury car,agent,no
116,oregon,9986.661111,high school or below,male,24067,132,0.0,corporate auto,633.6,sports car,branch,no
117,california,5568.656492,college,female,51489,139,0.0,personal auto,236.739322,suv,web,no
118,washington,20579.69157,bachelor,male,0,69,0.0,personal auto,566.673518,four-door car,call center,no
119,oregon,8276.44416,high school or below,male,0,82,0.0,personal auto,590.4,four-door car,branch,no
120,california,4014.332715,master,female,54054,99,0.0,personal auto,5.661684,four-door car,branch,no
121,arizona,12989.81806,bachelor,male,0,65,0.0,personal auto,312.0,four-door car,web,no
122,california,15114.40241,high school or below,female,28513,100,1.0,corporate auto,480.0,suv,call center,yes
123,washington,4709.52218,high school or below,female,0,66,0.0,personal auto,470.576119,four-door car,agent,no
124,oregon,2452.977288,college,male,79898,62,1.0,corporate auto,271.606799,four-door car,agent,no
125,california,3919.366722,high school or below,female,66676,97,0.0,personal auto,558.099357,four-door car,agent,yes
126,,4716.264294,high school or below,male,25746,61,1.0,corporate auto,292.8,four-door car,agent,
127,oregon,12332.51669,college,male,85789,105,2.0,personal auto,122.302824,sports car,agent,no
128,california,35862.99324,high school or below,male,26376,121,0.0,personal auto,580.8,suv,agent,no
129,oregon,2398.354197,college,male,14321,65,0.0,personal auto,423.823547,four-door car,branch,no
130,california,6005.847375,college,male,13528,86,0.0,personal auto,412.8,four-door car,agent,yes
131,,6265.343299,doctor,female,0,84,1.0,corporate auto,481.025786,four-door car,agent,
132,california,8013.895125,bachelor,male,65636,67,0.0,personal auto,321.6,four-door car,call center,no
133,washington,4979.079933,high school or below,male,0,71,0.0,personal auto,340.8,two-door car,agent,no
134,arizona,4834.710493,college,female,38713,66,4.0,corporate auto,316.8,four-door car,call center,yes
135,nevada,3288.209809,college,male,0,102,1.0,personal auto,734.4,suv,call center,no
136,arizona,5525.470004,college,female,64816,69,0.0,corporate auto,331.2,four-door car,agent,no
137,washington,9031.214859,master,female,0,122,0.0,corporate auto,650.52179,sports car,branch,yes
138,california,4620.390087,college,female,0,130,0.0,personal auto,936.0,suv,agent,no
139,washington,5552.596353,high school or below,male,50470,71,0.0,corporate auto,377.498287,two-door car,call center,no
140,nevada,3842.028065,college,male,27906,102,0.0,personal auto,489.6,four-door car,call center,no
141,california,5093.379714,bachelor,female,91814,63,0.0,personal auto,167.037619,two-door car,call center,no
142,oregon,16794.31422,high school or below,female,38399,106,0.0,personal auto,368.890904,suv,web,no
143,oregon,24278.10167,master,female,20983,97,1.0,personal auto,451.751555,four-door car,branch,no
144,california,7462.926263,college,female,70263,93,0.0,personal auto,7.345946,two-door car,call center,yes
145,california,3735.838129,bachelor,male,0,110,0.0,personal auto,792.0,suv,agent,no
146,oregon,2891.272351,bachelor,female,80590,71,0.0,corporate auto,134.158389,four-door car,branch,no
147,washington,11981.98481,master,female,21514,62,0.0,personal auto,257.248789,two-door car,agent,yes
148,california,2347.048112,college,male,31617,62,1.0,personal auto,244.269407,,agent,no
149,oregon,4282.947971,college,female,40864,109,1.0,personal auto,166.937747,suv,agent,yes
150,arizona,5380.898636,college,female,55350,67,0.0,personal auto,321.6,four-door car,agent,yes
151,oregon,5828.1822,college,female,31364,74,0.0,personal auto,461.269135,four-door car,web,no
152,california,5048.051359,high school or below,female,34452,126,0.0,personal auto,604.8,suv,agent,no
153,oregon,7737.265103,college,female,50296,65,1.0,personal auto,46.804,two-door car,call center,no
154,california,7950.178237,high school or below,male,26189,69,0.0,personal auto,331.2,four-door car,agent,no
155,,4111.888285,college,female,65085,103,0.0,personal auto,480.073548,four-door car,call center,
156,washington,8007.399376,high school or below,female,0,112,0.0,personal auto,537.6,sports car,web,yes
157,arizona,4873.436612,high school or below,female,18866,126,0.0,personal auto,604.8,suv,call center,no
158,oregon,2252.416825,college,female,0,65,0.0,personal auto,468.0,two-door car,web,no
159,oregon,4957.033603,college,female,62803,62,0.0,personal auto,400.959425,two-door car,web,no
160,oregon,2655.864573,high school or below,female,83460,66,0.0,corporate auto,443.44552,four-door car,call center,no
161,washington,5898.733666,bachelor,female,53998,78,5.0,personal auto,414.519064,four-door car,call center,no
162,california,17723.76398,college,female,25771,222,0.0,personal auto,1253.984948,luxury suv,branch,no
163,california,5108.038755,college,male,26784,67,0.0,corporate auto,482.4,,branch,no
164,california,4517.908834,bachelor,female,25261,118,0.0,personal auto,566.4,suv,branch,no
165,arizona,5310.861767,college,female,0,72,1.0,personal auto,345.6,four-door car,branch,no
166,nevada,2773.455358,high school or below,female,73478,68,0.0,personal auto,241.88878,four-door car,call center,no
167,arizona,5504.139033,bachelor,female,0,73,0.0,corporate auto,350.4,four-door car,call center,yes
168,,6960.920371,college,male,74487,88,0.0,personal auto,16.711329,four-door car,call center,
169,,5010.37931,bachelor,female,64014,63,,corporate auto,295.871784,four-door car,agent,
170,oregon,8488.561363,high school or below,female,80213,70,0.0,personal auto,440.268527,two-door car,branch,no
171,washington,2471.528431,high school or below,male,95697,61,0.0,personal auto,114.273025,two-door car,agent,yes
172,oregon,5876.054314,college,female,32848,74,,personal auto,250.454012,four-door car,call center,no
173,california,12313.16484,college,male,0,116,0.0,personal auto,835.2,two-door car,call center,no
174,oregon,3982.180708,doctor,female,38500,99,1.0,corporate auto,423.286512,four-door car,agent,no
175,california,8237.037945,bachelor,female,23940,107,0.0,personal auto,513.6,suv,call center,no
176,california,12487.58095,high school or below,female,31283,104,,personal auto,499.2,four-door car,agent,no
177,oregon,5366.779081,doctor,female,0,70,0.0,personal auto,223.174067,four-door car,agent,no
178,arizona,2517.533581,college,female,0,69,,personal auto,42.096415,four-door car,call center,no
179,california,5583.068307,high school or below,female,57925,72,1.0,corporate auto,204.620759,two-door car,agent,no
180,california,7356.559341,high school or below,male,81145,92,0.0,corporate auto,321.060571,two-door car,call center,no
181,california,10144.3094,college,female,27231,88,0.0,personal auto,422.4,four-door car,branch,no
182,oregon,8672.194272,college,female,22547,112,0.0,corporate auto,537.6,suv,agent,no
183,california,2674.730716,college,male,56342,69,0.0,special auto,331.2,four-door car,call center,yes
184,california,34611.37896,high school or below,female,20090,109,0.0,special auto,523.2,sports car,agent,yes
185,california,8071.334962,bachelor,male,72149,101,0.0,personal auto,69.310166,suv,call center,no
186,nevada,2511.944048,college,male,17658,65,0.0,personal auto,312.0,,web,no
187,california,7255.714453,college,male,10710,94,0.0,personal auto,451.2,two-door car,branch,no
188,arizona,14510.7505,high school or below,male,60120,182,0.0,personal auto,716.469391,luxury car,branch,no
189,california,11009.13049,bachelor,female,51643,283,0.0,corporate auto,1358.4,luxury car,agent,yes
190,,21991.61598,college,female,80807,109,0.0,personal auto,132.139111,suv,branch,
191,arizona,4633.336334,college,male,27132,63,1.0,personal auto,302.4,four-door car,branch,no
192,california,5272.518472,doctor,male,85607,66,0.0,personal auto,67.647131,four-door car,agent,no
193,arizona,4340.086445,college,male,0,62,0.0,personal auto,446.4,four-door car,branch,no
194,california,5488.931031,high school or below,female,33881,68,0.0,personal auto,65.659137,four-door car,web,no
195,california,14228.23432,bachelor,male,31650,121,0.0,personal auto,580.8,suv,branch,no
196,california,12840.43291,college,female,0,90,0.0,personal auto,648.0,two-door car,call center,no
197,arizona,2673.319593,master,male,28728,67,0.0,personal auto,321.6,four-door car,branch,no
198,oregon,5332.462694,doctor,female,68931,66,0.0,corporate auto,309.577946,four-door car,branch,yes
199,arizona,10064.60828,high school or below,female,20440,128,2.0,corporate auto,614.4,sports car,branch,no
200,washington,8972.140307,bachelor,male,89689,74,,personal auto,136.829537,four-door car,branch,no
201,california,8197.197078,college,female,0,110,0.0,personal auto,528.0,suv,agent,no
202,oregon,3514.212939,bachelor,female,73643,89,0.0,corporate auto,147.486454,four-door car,agent,no
203,california,4293.009593,college,female,0,61,0.0,corporate auto,292.8,two-door car,agent,no
204,arizona,3567.503755,bachelor,male,0,102,0.0,corporate auto,660.430456,suv,agent,yes
205,arizona,2580.849899,college,male,46900,66,0.0,personal auto,316.8,,web,yes
206,nevada,46805.22306,high school or below,male,83006,235,1.0,personal auto,1065.049894,luxury suv,agent,no
207,washington,2666.976685,bachelor,female,79251,67,1.0,personal auto,321.6,four-door car,web,no
208,california,13057.01188,college,male,0,190,0.0,personal auto,1833.182529,luxury suv,branch,no
209,california,5823.162917,high school or below,female,88359,73,0.0,personal auto,35.915639,two-door car,call center,no
210,california,9536.338382,bachelor,female,62421,80,2.0,corporate auto,384.0,four-door car,call center,no
211,nevada,8107.26533,college,male,0,76,0.0,corporate auto,364.8,two-door car,branch,no
212,california,3484.141641,bachelor,male,34307,92,2.0,personal auto,186.025014,four-door car,call center,no
213,oregon,34039.05613,college,male,0,104,0.0,personal auto,499.2,sports car,agent,no
214,washington,7995.441263,high school or below,female,66685,67,2.0,personal auto,38.763897,two-door car,call center,no
215,arizona,11611.94584,bachelor,male,28915,76,0.0,personal auto,364.8,four-door car,web,no
216,nevada,4454.104455,college,female,0,68,1.0,personal auto,326.4,four-door car,branch,no
217,arizona,5395.346288,bachelor,female,0,74,0.0,personal auto,355.2,four-door car,web,no
218,arizona,8447.888167,bachelor,female,61337,105,0.0,personal auto,2.54009,suv,call center,no
219,arizona,2927.07045,bachelor,female,75685,73,0.0,personal auto,369.918482,four-door car,agent,no
220,arizona,2960.029328,high school or below,female,0,82,0.0,personal auto,590.4,four-door car,agent,no
221,washington,6582.450781,high school or below,female,0,62,0.0,special auto,297.6,four-door car,agent,no
222,washington,2693.530229,master,female,63684,68,,personal auto,343.889585,two-door car,agent,no
223,california,2844.849804,bachelor,male,80306,71,0.0,corporate auto,340.8,two-door car,call center,no
224,california,6331.338496,bachelor,female,0,87,0.0,personal auto,94.714302,,branch,no
225,arizona,5837.528088,doctor,male,83308,73,,personal auto,419.471438,four-door car,agent,no
226,,4727.354548,bachelor,male,0,72,0.0,personal auto,345.6,four-door car,call center,
227,washington,4434.411172,high school or below,male,34549,111,0.0,personal auto,125.933005,four-door car,web,no
228,california,5568.947534,high school or below,male,0,79,1.0,corporate auto,407.440238,two-door car,agent,yes
229,washington,7031.463693,master,male,16224,93,0.0,corporate auto,498.452698,four-door car,web,no
230,california,2449.31771,high school or below,male,47122,62,0.0,personal auto,297.6,two-door car,branch,no
231,arizona,2504.444752,college,male,0,69,0.0,personal auto,496.8,four-door car,branch,no
232,california,9095.049868,college,male,37937,116,0.0,personal auto,556.8,suv,call center,yes
233,nevada,8071.65295,high school or below,male,0,112,0.0,personal auto,806.4,suv,web,no
234,oregon,15032.9003,college,male,17150,65,0.0,personal auto,689.800891,two-door car,agent,no
235,arizona,8256.2978,bachelor,female,62902,69,0.0,personal auto,159.383042,two-door car,web,yes
236,oregon,11009.13049,bachelor,female,51643,283,0.0,special auto,1358.4,luxury car,agent,yes
237,california,5318.89664,bachelor,female,25134,67,0.0,personal auto,321.6,four-door car,call center,yes
238,arizona,4733.507343,bachelor,female,0,62,0.0,corporate auto,740.838216,four-door car,agent,no
239,california,33473.34946,bachelor,female,33190,106,0.0,personal auto,508.8,suv,web,yes
240,oregon,4550.856045,high school or below,female,17913,116,0.0,personal auto,556.8,four-door car,web,no
241,california,4772.943848,high school or below,male,20993,133,0.0,personal auto,638.4,suv,agent,yes
242,arizona,6285.15476,college,male,52210,80,0.0,personal auto,384.0,four-door car,branch,no
243,oregon,4434.941371,bachelor,female,58082,112,1.0,personal auto,103.022126,suv,call center,no
244,oregon,17254.03699,bachelor,male,0,69,1.0,personal auto,331.2,four-door car,agent,no
245,oregon,2915.614781,college,male,86599,73,0.0,corporate auto,350.4,four-door car,web,no
246,oregon,15762.53198,bachelor,female,44362,66,0.0,corporate auto,142.113373,four-door car,call center,no
247,oregon,4273.587765,bachelor,female,82214,106,1.0,personal auto,239.143671,four-door car,branch,no
248,nevada,2816.567395,high school or below,female,41228,71,0.0,personal auto,340.8,four-door car,branch,no
249,nevada,5548.031892,bachelor,male,67798,69,0.0,personal auto,331.2,four-door car,agent,yes
250,oregon,32654.8383,bachelor,male,0,153,0.0,personal auto,1101.6,suv,branch,no
251,,7687.296987,bachelor,female,0,109,0.0,personal auto,523.2,suv,call center,
252,arizona,4151.667368,master,female,0,61,,personal auto,208.892861,two-door car,web,no
253,california,2927.734329,bachelor,male,51991,73,0.0,personal auto,124.376921,four-door car,web,no
254,california,2943.045259,high school or below,female,0,81,,personal auto,388.8,two-door car,branch,no
255,oregon,5320.081159,high school or below,female,88669,66,1.0,personal auto,213.574473,four-door car,call center,no
256,oregon,4858.067125,high school or below,male,0,67,,personal auto,482.4,four-door car,branch,no
257,arizona,7590.050089,high school or below,male,10375,66,0.0,personal auto,316.8,two-door car,branch,no
258,oregon,4605.036646,college,female,22571,63,0.0,corporate auto,302.4,four-door car,web,yes
259,california,7555.828789,college,male,0,114,,personal auto,820.8,four-door car,branch,no
260,oregon,9587.586583,bachelor,male,84539,119,0.0,personal auto,65.428481,four-door car,call center,no
261,oregon,2780.196856,high school or below,female,20261,72,0.0,personal auto,345.6,,web,no
262,oregon,4784.960513,bachelor,female,25813,61,,personal auto,205.332749,four-door car,agent,no
263,oregon,4873.350518,high school or below,male,47824,129,3.0,personal auto,546.046853,suv,agent,no
264,oregon,4786.054889,bachelor,female,0,68,0.0,corporate auto,489.6,four-door car,agent,no
265,california,15994.008,bachelor,male,0,159,0.0,personal auto,1410.16929,suv,web,no
266,washington,5395.091602,bachelor,female,86640,67,0.0,personal auto,65.457366,four-door car,web,no
267,oregon,2356.074955,bachelor,male,0,63,0.0,personal auto,302.4,four-door car,agent,no
268,washington,5133.414764,master,male,53390,64,0.0,personal auto,278.999409,four-door car,branch,no
269,oregon,4996.564694,college,female,25915,64,0.0,corporate auto,317.979988,two-door car,agent,no
270,,4455.843406,high school or below,female,0,121,0.0,personal auto,699.615192,suv,agent,
271,washington,3921.018919,college,female,62445,98,1.0,personal auto,681.167228,four-door car,call center,no
272,arizona,20171.96154,doctor,male,24804,73,0.0,personal auto,350.4,two-door car,call center,no
273,oregon,5528.212807,bachelor,male,36088,72,0.0,corporate auto,345.6,four-door car,agent,yes
274,california,4077.501164,bachelor,female,53093,103,0.0,corporate auto,98.991733,suv,call center,no
275,arizona,4917.889638,high school or below,male,0,71,0.0,personal auto,511.2,two-door car,web,no
276,oregon,5686.961001,high school or below,male,30242,72,0.0,personal auto,48.288036,four-door car,branch,no
277,california,8025.229358,college,female,0,77,,personal auto,25.807685,two-door car,branch,no
278,oregon,4165.252177,bachelor,male,58299,105,,personal auto,504.0,four-door car,branch,no
279,oregon,19259.84494,master,female,35973,159,0.0,personal auto,763.2,sports car,call center,no
280,arizona,2486.064902,college,male,36635,63,0.0,corporate auto,302.4,four-door car,agent,no
281,california,5948.98896,high school or below,female,88122,148,0.0,corporate auto,840.231575,suv,call center,no
282,oregon,10996.71336,high school or below,female,0,104,0.0,personal auto,748.8,suv,branch,no
283,nevada,4803.935174,high school or below,male,0,69,0.0,corporate auto,496.8,four-door car,call center,no
284,california,7761.267839,college,female,43137,96,0.0,personal auto,460.8,two-door car,call center,no
285,california,4334.064096,bachelor,female,23904,123,3.0,corporate auto,590.4,suv,agent,yes
286,california,7695.122957,bachelor,male,50147,101,0.0,personal auto,484.8,suv,branch,no
287,california,2397.036098,high school or below,female,22283,65,0.0,corporate auto,572.072106,four-door car,branch,yes
288,nevada,42561.63183,master,male,66661,119,0.0,personal auto,571.2,suv,agent,no
289,california,7153.208425,bachelor,female,32238,91,0.0,personal auto,439.781453,four-door car,branch,no
290,california,6143.898219,high school or below,female,45032,77,0.0,personal auto,36.818178,four-door car,agent,no
291,arizona,26180.80528,high school or below,female,68189,82,1.0,special auto,343.121192,four-door car,branch,no
292,arizona,18688.30707,high school or below,female,0,76,0.0,personal auto,364.8,four-door car,agent,no
293,oregon,7089.68396,high school or below,male,52707,90,1.0,corporate auto,432.0,four-door car,branch,no
294,oregon,15000.84238,high school or below,female,62473,76,1.0,personal auto,507.560729,,branch,no
295,nevada,41787.90343,high school or below,female,46587,119,2.0,personal auto,571.2,four-door car,call center,yes
296,oregon,2470.121222,college,male,0,74,,personal auto,721.242206,two-door car,web,no
297,oregon,4786.009693,high school or below,male,23402,61,0.0,personal auto,292.8,four-door car,call center,no
298,oregon,7918.334928,college,male,44698,211,4.0,personal auto,1012.8,luxury car,call center,no
299,california,2858.087414,master,female,27382,71,0.0,personal auto,134.104322,four-door car,web,no
300,california,2719.853023,bachelor,male,41005,70,0.0,personal auto,336.0,four-door car,branch,no
301,california,5714.165863,master,female,23726,74,0.0,corporate auto,355.2,,call center,no
302,washington,2837.109178,college,male,90893,70,0.0,personal auto,70.712507,two-door car,agent,no
303,oregon,2535.321683,high school or below,female,0,68,0.0,corporate auto,326.4,four-door car,branch,no
304,,5623.611187,college,female,31504,71,0.0,special auto,340.8,four-door car,branch,
305,,9061.057741,master,female,73876,112,0.0,personal auto,419.303041,four-door car,web,
306,arizona,5555.830205,bachelor,male,74015,72,0.0,personal auto,471.443077,four-door car,call center,yes
307,oregon,7937.064822,high school or below,female,22862,67,0.0,personal auto,321.6,two-door car,agent,no
308,california,11790.49617,college,male,25251,66,0.0,corporate auto,316.8,four-door car,web,yes
309,nevada,22305.32351,college,female,0,102,0.0,personal auto,401.528957,two-door car,agent,no
310,washington,6328.180924,bachelor,male,0,100,2.0,personal auto,648.364172,suv,branch,no
